crime_code,victim_age,victim_sex,serious_crime,weapon_0,weapon_1,weapon_2,weapon_3,weapon_4,weapon_5,weapon_6,weapon_7,weapon_8,weapon_9,premise_0,premise_1,premise_2,premise_3,premise_4,premise_5,premise_6,premise_7,premise_8,premise_9,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_8,area_9,norm_distance,norm_angle,victim_descent_A,victim_descent_B,victim_descent_H,victim_descent_O,victim_descent_W
0,0.36082474226804123,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0.846876571019642,0.3160579492656641,0,1,0,0,0
0,0.5463917525773195,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.4885998050014195,0.2787208781216203,0,0,1,0,0
0,0.23711340206185566,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5303290552243519,0.3150331045056297,0,1,0,0,0
0,0.29896907216494845,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3073110924759713,0.3102742403430305,0,0,0,0,1
0,0.23711340206185566,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.44024578387911745,0.2818455706704602,0,1,0,0,0
0,0.4020618556701031,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3515067200372574,0.2874136816668753,0,0,1,0,0
0,0.35051546391752575,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8195796707534727,0.3172088993938378,0,0,1,0,0
0,0.4329896907216495,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2828959119137321,0.30336805827812247,0,0,1,0,0
0,0.16494845360824742,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3312078201111173,0.28782394690208457,0,0,1,0,0
0,0.18556701030927836,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3416710676686909,0.27905820227141354,0,0,1,0,0
0,0.29896907216494845,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.13345740220705296,0.294355511048432,0,0,1,0,0
0,0.18556701030927836,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0.4681453256172611,0.19572453075419646,0,0,1,0,0
0,0.3711340206185567,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.19149886611926267,0.28675557282277525,0,0,1,0,0
0,0.1958762886597938,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3289414196554841,0.28127626627247176,0,0,0,0,1
0,0.7525773195876289,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2706807607021738,0.30967431690065284,0,0,0,0,1
0,0.35051546391752575,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.5037563211664243,0.29479365121578366,0,1,0,0,0
0,0.14432989690721648,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15813038882478447,0.2776745696847577,0,0,1,0,0
0,0.2268041237113402,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.31860214863617703,0.28217123109080006,0,0,1,0,0
0,0.35051546391752575,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.29763848056180464,0.3112914093783813,0,1,0,0,0
0,0.29896907216494845,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5028676439184243,0.32019122744749484,0,0,1,0,0
0,0.6185567010309279,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.7445126921208666,0.3160766843047991,0,1,0,0,0
0,0.21649484536082475,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.20362663645069576,0.27003267448656226,0,0,1,0,0
0,0.13402061855670103,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.4296807705364181,0.29171731855347166,0,0,1,0,0
0,0.26804123711340205,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3073110924759713,0.3102742403430305,0,0,1,0,0
0,0.3711340206185567,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.22827857435672544,0.2946611393439839,0,0,1,0,0
0,0.5360824742268041,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.15924094058730542,0.2780325716883336,0,1,0,0,0
0,0.4536082474226804,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.24274339557316868,0.3108541775412005,0,0,1,0,0
0,0.4639175257731959,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3012131745986257,0.2805274649781331,0,0,1,0,0
0,0.4020618556701031,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.36291293628440896,0.3093232498576936,0,0,1,0,0
0,0.26804123711340205,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.5062777331361548,0.3152246745992123,0,0,0,0,1
0,0.4742268041237113,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2628033856323222,0.3112745422495391,0,1,0,0,0
0,0.41237113402061853,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.8130508380673755,0.3174007781313641,0,1,0,0,0
0,0.26804123711340205,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.24981752660195267,0.2986450947066039,0,0,1,0,0
0,0.29896907216494845,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0.45515219626358094,0.3090010204669483,0,0,1,0,0
0,0.3917525773195876,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.3223635372636256,0.2767947395741135,0,1,0,0,0
0,0.35051546391752575,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.30430566623342126,0.3102381199980187,0,1,0,0,0
0,0.5360824742268041,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5369192118270065,0.3109717509508539,0,1,0,0,0
0,0.13402061855670103,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2732063488987327,0.2848940177410339,0,0,1,0,0
0,0.5567010309278351,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5632348204836618,0.3116301073690759,0,0,1,0,0
0,0.5876288659793815,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0.4360484314168727,0.2744323460063256,0,1,0,0,0
0,0.35051546391752575,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.3776713753993392,0.2971576562237608,0,0,1,0,0
