crime_code,victim_age,victim_sex,serious_crime,weapon_0,weapon_1,weapon_2,weapon_3,weapon_4,weapon_5,weapon_6,weapon_7,weapon_8,weapon_9,premise_0,premise_1,premise_2,premise_3,premise_4,premise_5,premise_6,premise_7,premise_8,premise_9,area_0,area_1,area_2,area_3,area_4,area_5,area_6,area_7,area_8,area_9,norm_distance,norm_angle,victim_descent_A,victim_descent_B,victim_descent_H,victim_descent_O,victim_descent_W
0,0.5876288659793815,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.13655978301791752,0.09690724112620748,0,0,1,0,0
0,0.30927835051546393,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.3844666181064378,0.3351317476968228,0,0,0,1,0
0,0.14432989690721648,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.43767969482419866,0.13238992412583328,0,0,1,0,0
0,0.20618556701030927,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.07135038867493171,0.18627878800488934,0,0,1,0,0
0,0.20618556701030927,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.472135322836098,0.07011304026357905,0,0,1,0,0
0,0.5876288659793815,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.04600465252845352,0.0797225478531974,0,1,0,0,0
0,0.18556701030927836,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.40850930237512406,0.09217663781069865,0,0,1,0,0
0,0.35051546391752575,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.8885618070459401,0.0413293821737247,0,0,1,0,0
0,0.1134020618556701,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.2575255982335841,0.0880805164863138,0,0,1,0,0
0,0.16494845360824742,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.17093272467348852,0.7932204405331322,0,0,1,0,0
0,0.422680412371134,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2609960786570588,0.22724485544603035,0,0,1,0,0
0,0.4639175257731959,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.4001856920456895,0.07355816391135571,0,1,0,0,0
0,0.4845360824742268,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0.13593677045518346,0.6699891992818179,0,0,1,0,0
0,0.8144329896907216,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.01748291083077761,0.7441382234843609,0,1,0,0,0
0,0.24742268041237114,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1041636283129465,0.18674872399232387,0,0,1,0,0
0,0.20618556701030927,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0.05876614792473238,0.11211392529280913,0,0,0,0,1
0,0.20618556701030927,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.1263135899871899,0.03254435910256002,0,0,1,0,0
0,0.29896907216494845,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6100210491241453,0.048454684100594385,0,0,1,0,0
0,0.25773195876288657,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0.17513277534994426,0.187887585864554,0,1,0,0,0
0,0.32989690721649484,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0.13823495772965352,0.24993735006350862,0,0,1,0,0
